,RespondentID,Knowledge,Interest,Algeria,Argentina,Australia,Belgium,Bosnia and Herzegovina,Brazil,Cameroon,Chile,Colombia,Costa Rica,Croatia,Ecuador,England,France,Germany,Ghana,Greece,Honduras,Iran,Italy,Ivory Coast,Japan,Mexico,the Netherlands,Nigeria,Portugal,Russia,South Korea,Spain,Switzerland,United States,Uruguay,China,India,Thailand,Turkey,Cuba,Ethiopia,Vietnam,Ireland,Gender,Age,Household Income,Education,Location
638,3308331386,Advanced,A lot,,3.0,,3.0,,4.0,,5.0,3.0,4.0,,3.0,2.0,3.0,2.0,,5.0,3.0,3.0,4.0,,5.0,5.0,,4.0,4.0,3.0,4.0,4.0,2.0,3.0,,5.0,5.0,5.0,3.0,4.0,5.0,4.0,3.0,Male,45-60,"$50,000 - $99,999",Bachelor degree,Pacific
639,3308330728,Novice,Some,,,,,,2.0,,,,3.0,,,3.0,3.0,3.0,,3.0,2.0,,4.0,,4.0,3.0,,,,,,3.0,,4.0,,4.0,3.0,4.0,,2.0,,,,Male,30-44,"$25,000 - $49,999",Graduate degree,East North Central
640,3308329771,Intermediate,Some,,,,,,,,,,,,3.0,3.0,,3.0,,,,,4.0,,3.0,3.0,,,,,,3.0,,2.0,,3.0,4.0,3.0,,,3.0,4.0,,Female,30-44,"$25,000 - $49,999",Graduate degree,Middle Atlantic
641,3308328798,Intermediate,A lot,,,,,,,,,,,,,4.0,3.0,5.0,,5.0,,,5.0,,4.0,5.0,,,,3.0,,4.0,4.0,4.0,,5.0,5.0,5.0,,4.0,4.0,4.0,3.0,Male,30-44,"$50,000 - $99,999",Bachelor degree,West South Central
642,3308327461,Novice,Not much,,,,,,,,,,,,,2.0,5.0,2.0,,5.0,,,5.0,,4.0,4.0,,,,,,,,3.0,,3.0,2.0,3.0,,3.0,,,3.0,Male,30-44,"$150,000+",Graduate degree,East South Central
643,3308326448,Novice,Not at all,,,,,,,,,,,,,3.0,1.0,5.0,,3.0,,,3.0,,3.0,4.0,,,,,3.0,,,4.0,,3.0,,3.0,,,,4.0,,Male,> 60,"$100,000 - $149,999",Graduate degree,South Atlantic
644,3308324947,Intermediate,Some,,,,3.0,,4.0,,,,3.0,,,3.0,3.0,,,3.0,,,4.0,,5.0,5.0,,,,,3.0,4.0,1.0,4.0,,4.0,3.0,4.0,,3.0,,4.0,4.0,Male,30-44,,Some college or Associate degree,West South Central
645,3308324268,Novice,Some,,,,,,,,,,,,,3.0,3.0,3.0,,4.0,,,5.0,,,3.0,,,,,,,,5.0,,4.0,,,,,,,3.0,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,South Atlantic
646,3308312394,Intermediate,Some,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic
647,3308310793,Intermediate,A lot,,,,,,,,,,,,,4.0,,4.0,,4.0,,,5.0,,,4.0,,,,,,,,5.0,,4.0,5.0,,,,,,,Male,> 60,"$25,000 - $49,999",Some college or Associate degree,South Atlantic
648,3308307343,Novice,Some,3.0,3.0,4.0,3.0,,,,3.0,3.0,3.0,,,2.0,4.0,4.0,,4.0,3.0,,5.0,,4.0,4.0,,,3.0,3.0,2.0,5.0,4.0,5.0,,5.0,3.0,,4.0,4.0,,3.0,5.0,Male,> 60,"$0 - $24,999",Bachelor degree,West South Central
649,3308306831,Novice,Not at all,,,,,,,,,,,,,,,3.0,,,,,5.0,,4.0,3.0,,,,,,,,5.0,,3.0,,4.0,,,,,,Male,30-44,"$150,000+",Some college or Associate degree,Middle Atlantic
651,3308303736,Intermediate,Some,,,,,,,,,,,,,2.0,5.0,3.0,,4.0,,,4.0,,5.0,3.0,,,3.0,,,4.0,3.0,4.0,,3.0,4.0,4.0,3.0,3.0,,4.0,3.0,Female,45-60,"$50,000 - $99,999",Graduate degree,Pacific
652,3308299417,Intermediate,A lot,,,3.0,,,,,,,,,,4.0,5.0,4.0,,5.0,,3.0,5.0,,5.0,4.0,,,,3.0,4.0,3.0,,5.0,,5.0,3.0,5.0,,3.0,,4.0,4.0,Male,> 60,"$100,000 - $149,999",Graduate degree,Mountain
653,3308298496,Intermediate,Some,1.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,4.0,2.0,4.0,1.0,5.0,5.0,2.0,5.0,3.0,1.0,5.0,3.0,5.0,5.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,2.0,3.0,2.0,3.0,4.0,Male,45-60,"$150,000+",Graduate degree,West South Central
654,3308297674,Intermediate,A lot,,,,4.0,3.0,,,,3.0,3.0,4.0,,5.0,5.0,4.0,4.0,4.0,,,4.0,,4.0,3.0,,,3.0,5.0,,4.0,,4.0,,4.0,3.0,4.0,,4.0,4.0,2.0,5.0,Female,30-44,"$150,000+",Bachelor degree,Middle Atlantic
655,3308297446,Intermediate,A lot,,,,,,,,,,,,,4.0,5.0,3.0,,2.0,,,5.0,,3.0,4.0,,,,,,5.0,,4.0,,5.0,3.0,5.0,,,,,,Female,18-29,"$25,000 - $49,999",Some college or Associate degree,East South Central
656,3308290120,Novice,Not much,,,,,,,,,,,,,3.0,3.0,3.0,,3.0,,,3.0,,3.0,4.0,,,,,,,,4.0,,,2.0,,,,,3.0,3.0,Male,> 60,,Graduate degree,Pacific
657,3308288700,Intermediate,A lot,,,3.0,,,4.0,,,3.0,3.0,,3.0,2.0,5.0,4.0,,4.0,,,5.0,,4.0,4.0,,,4.0,2.0,4.0,4.0,,3.0,,2.0,,4.0,3.0,4.0,,3.0,,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,West South Central
658,3308286815,Intermediate,Some,,3.0,,4.0,,,,,,,,,5.0,5.0,5.0,,5.0,,,5.0,,3.0,4.0,,,,,,4.0,4.0,5.0,,5.0,4.0,3.0,,3.0,,,4.0,Female,> 60,"$25,000 - $49,999",Graduate degree,West South Central
659,3308278541,Intermediate,Some,,,3.0,3.0,,,,,,,3.0,,3.0,3.0,4.0,,3.0,,,4.0,,3.0,4.0,3.0,,,3.0,3.0,4.0,,4.0,,3.0,2.0,2.0,,3.0,3.0,3.0,4.0,Female,30-44,"$25,000 - $49,999",Bachelor degree,West South Central
660,3308278480,Intermediate,A lot,,,,,,,,,,,,,3.0,4.0,3.0,,5.0,4.0,4.0,4.0,,5.0,5.0,,,,4.0,4.0,3.0,,3.0,,3.0,5.0,4.0,5.0,,4.0,5.0,,Male,18-29,"$0 - $24,999",Bachelor degree,West South Central
661,3308272594,Novice,A lot,,,,,,,,,,,,,3.0,4.0,3.0,,3.0,,,5.0,,3.0,4.0,,,4.0,3.0,,4.0,,4.0,,2.0,4.0,3.0,3.0,,,,3.0,Male,> 60,"$150,000+",Graduate degree,Middle Atlantic
662,3308271710,Novice,Not much,,,,,,,,,,,,,,,,,3.0,,,5.0,,,4.0,,,,,,,,4.0,,3.0,3.0,,,,,,,Male,> 60,"$50,000 - $99,999",Bachelor degree,New England
663,3308269413,Novice,Some,,,,,,,,,,,,,3.0,4.0,5.0,,4.0,,,5.0,,4.0,5.0,4.0,,,3.0,,3.0,,5.0,,5.0,3.0,,,,,,4.0,Male,> 60,"$0 - $24,999",Bachelor degree,West North Central
664,3308267165,Intermediate,Some,,,,3.0,,,,,,,,,2.0,3.0,3.0,,3.0,,,4.0,,5.0,4.0,,,,,,,3.0,3.0,,4.0,5.0,4.0,,,3.0,,3.0,Female,18-29,"$25,000 - $49,999",Bachelor degree,East North Central
665,3308266166,Novice,Not at all,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
666,3308092894,Novice,Not much,2.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,5.0,3.0,4.0,4.0,2.0,2.0,2.0,5.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,East North Central
667,3308042260,Advanced,A lot,,4.0,3.0,4.0,1.0,4.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,,5.0,1.0,,5.0,,5.0,4.0,2.0,,4.0,5.0,3.0,5.0,,5.0,3.0,5.0,5.0,5.0,4.0,2.0,1.0,3.0,5.0,Male,18-29,"$100,000 - $149,999",Some college or Associate degree,Pacific
668,3308039152,Intermediate,Some,,4.0,,,,4.0,,,,,,,,5.0,5.0,,5.0,,5.0,5.0,,4.0,5.0,,,,,,,,2.0,,5.0,5.0,4.0,,,,4.0,,Male,18-29,"$25,000 - $49,999",Bachelor degree,Pacific
669,3308037388,Advanced,Some,,2.0,1.0,1.0,,2.0,,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,,3.0,2.0,3.0,5.0,1.0,3.0,5.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,5.0,1.0,3.0,4.0,5.0,1.0,2.0,1.0,1.0,3.0,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,Pacific
670,3308032443,Intermediate,Some,,4.0,3.0,,,3.0,,4.0,,,,,4.0,5.0,4.0,,5.0,,,5.0,,5.0,2.0,3.0,,4.0,2.0,,3.0,3.0,5.0,,3.0,3.0,4.0,3.0,,,4.0,4.0,Male,18-29,"$150,000+",Bachelor degree,Mountain
671,3308018699,Intermediate,A lot,,,,,,3.0,,3.0,3.0,4.0,,,,2.0,2.0,,4.0,3.0,,4.0,,,4.0,,3.0,,,3.0,3.0,,3.0,,4.0,4.0,4.0,,3.0,3.0,3.0,,Male,18-29,"$50,000 - $99,999",Bachelor degree,Pacific
672,3308008588,Novice,Some,,,,3.0,,,,,,,,,5.0,4.0,4.0,,3.0,,,5.0,,3.0,3.0,,,,5.0,,,3.0,3.0,,2.0,3.0,4.0,,,,,3.0,Male,18-29,,Some college or Associate degree,East North Central
674,3308005716,Intermediate,Some,,,,,,4.0,,,,,,,1.0,4.0,4.0,,,,,5.0,,4.0,3.0,,,,,3.0,5.0,,5.0,,4.0,3.0,3.0,,4.0,,,,Male,18-29,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
675,3307997110,Novice,Some,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,2.0,,4.0,,,,,,,,Male,18-29,"$0 - $24,999",Graduate degree,Middle Atlantic
676,3307982199,Novice,Not much,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,5.0,,5.0,,,,,,,,Male,18-29,"$0 - $24,999",High school degree,West North Central
677,3307976596,Intermediate,Some,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,5.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,Male,18-29,,Some college or Associate degree,Middle Atlantic
678,3307970125,Novice,Not much,,,,,,,,,,,,,4.0,5.0,,,,,,5.0,,5.0,,,,,,4.0,,,5.0,,5.0,4.0,4.0,,,,4.0,,Male,18-29,,Less than high school degree,Middle Atlantic
679,3307966711,Novice,Not much,,,,,,,,,,,,,,,4.0,,3.0,,,4.0,,,3.0,,,,,,3.0,,3.0,,2.0,,,,,,,,Male,18-29,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
680,3307955543,Advanced,Some,,,,4.0,,,,,,,,,4.0,2.0,4.0,,4.0,,,5.0,,4.0,3.0,,,3.0,3.0,,3.0,3.0,4.0,,5.0,4.0,4.0,2.0,3.0,,,5.0,Male,18-29,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
681,3307949403,Novice,Some,,4.0,4.0,,,,,,,,,,2.0,5.0,3.0,,4.0,,4.0,5.0,,4.0,5.0,,,,4.0,2.0,1.0,,4.0,,1.0,2.0,3.0,5.0,4.0,,3.0,,Male,18-29,,Graduate degree,Middle Atlantic
682,3307941340,Advanced,A lot,4.0,4.0,3.0,4.0,,5.0,,5.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,,5.0,3.0,5.0,5.0,,5.0,5.0,3.0,,4.0,3.0,4.0,5.0,,3.0,,5.0,5.0,5.0,,5.0,,3.0,3.0,Male,18-29,,Bachelor degree,Pacific
683,3307936108,Intermediate,A lot,4.0,4.0,3.0,3.0,,4.0,,,5.0,4.0,4.0,4.0,3.0,3.0,4.0,,4.0,4.0,4.0,5.0,,4.0,5.0,3.0,,4.0,3.0,5.0,5.0,4.0,4.0,,4.0,5.0,5.0,4.0,5.0,,4.0,3.0,Male,18-29,"$25,000 - $49,999",Bachelor degree,East North Central
684,3307930918,Expert,A lot,4.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,2.0,4.0,1.0,3.0,4.0,2.0,2.0,3.0,2.0,4.0,4.0,,,,,
685,3307930040,Novice,Not much,,,,,,,,,,,,,,,,,,,,5.0,,,4.0,,,,,,,,4.0,,2.0,,,,,,,,Male,18-29,"$0 - $24,999",Some college or Associate degree,West North Central
686,3307923184,Novice,Some,,,,,,,,,,,,,4.0,,4.0,,4.0,,,4.0,,4.0,4.0,,,,4.0,,4.0,,3.0,,4.0,4.0,4.0,,,4.0,5.0,5.0,Male,18-29,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
687,3307919457,Novice,Some,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,3.0,,,,,,,,3.0,,Male,18-29,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic
688,3307914481,Novice,Some,,,4.0,3.0,,,,,,,3.0,,4.0,4.0,3.0,,4.0,,,5.0,,,5.0,,,,,,,,5.0,,2.0,4.0,,,,,,3.0,Male,18-29,"$100,000 - $149,999",Some college or Associate degree,Mountain
689,3307863707,Novice,Not at all,,,4.0,1.0,,3.0,,,,,,,3.0,4.0,,,,2.0,,,2.0,5.0,2.0,3.0,2.0,4.0,2.0,1.0,3.0,2.0,2.0,4.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,1.0,Male,18-29,"$150,000+",Graduate degree,Mountain
690,3307860945,Novice,A lot,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,5.0,3.0,3.0,3.0,4.0,2.0,4.0,5.0,4.0,4.0,,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,Male,18-29,"$100,000 - $149,999",Bachelor degree,South Atlantic
691,3307846693,Advanced,A lot,3.0,,5.0,4.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,,4.0,5.0,,5.0,5.0,4.0,3.0,,4.0,4.0,4.0,4.0,4.0,,4.0,5.0,5.0,,4.0,,4.0,5.0,Male,18-29,"$0 - $24,999",Some college or Associate degree,Middle Atlantic
692,3307838179,Intermediate,Some,,,2.0,,,5.0,,5.0,4.0,,,,3.0,3.0,,,5.0,,,4.0,,1.0,5.0,,,,,,4.0,,2.0,,4.0,3.0,4.0,,,,,,Male,18-29,"$0 - $24,999",Some college or Associate degree,East North Central
693,3307835945,Novice,Not much,,,,,,,,,,,,,3.0,,4.0,,,,,5.0,,,2.0,,,,,3.0,4.0,,4.0,,3.0,,,,,,,,Male,18-29,"$0 - $24,999",Some college or Associate degree,West South Central
694,3307826381,Novice,Some,,,,,,,,,,,,,2.0,5.0,3.0,,3.0,,,4.0,,4.0,5.0,,,,,3.0,3.0,,5.0,,3.0,3.0,4.0,,5.0,2.0,4.0,3.0,Male,18-29,,High school degree,Pacific
695,3307782479,Intermediate,A lot,,,,3.0,,,,3.0,,3.0,,,3.0,4.0,5.0,,3.0,,,4.0,,4.0,5.0,,,3.0,,,3.0,5.0,3.0,,4.0,5.0,5.0,,,,,4.0,Male,18-29,"$100,000 - $149,999",Some college or Associate degree,Mountain
696,3307732771,Advanced,A lot,,3.0,,4.0,,4.0,,3.0,,,,,2.0,4.0,3.0,,4.0,4.0,,4.0,,4.0,4.0,,,,,,4.0,,3.0,,4.0,4.0,4.0,,3.0,4.0,4.0,3.0,Male,18-29,"$100,000 - $149,999",High school degree,South Atlantic
697,3307729966,Intermediate,Some,,,,3.0,,,,,,,,,3.0,4.0,4.0,,4.0,,3.0,4.0,,4.0,,,,,2.0,,,,3.0,,3.0,2.0,,,,,,3.0,Male,18-29,"$100,000 - $149,999",Some college or Associate degree,Pacific
698,3307727946,Intermediate,A lot,,,,,,,,,,,,,5.0,4.0,5.0,,5.0,,,5.0,,5.0,5.0,,,,,,,,4.0,,5.0,5.0,,,,,,5.0,Male,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic
699,3307709708,Intermediate,Some,3.0,3.0,,3.0,,3.0,2.0,3.0,1.0,5.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,5.0,3.0,5.0,5.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,5.0,1.0,,1.0,,3.0,3.0,3.0,4.0,2.0,3.0,5.0,Male,30-44,"$50,000 - $99,999",,East North Central
700,3307707910,Intermediate,A lot,,5.0,5.0,4.0,,4.0,,4.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,,4.0,4.0,,5.0,,5.0,5.0,4.0,,3.0,4.0,3.0,4.0,4.0,3.0,,5.0,4.0,5.0,,5.0,,2.0,4.0,Male,30-44,"$50,000 - $99,999",Bachelor degree,East South Central
701,3307703583,Novice,Some,,,,,,,,,,,,,,,,,,,,3.0,,4.0,3.0,,,,,,3.0,,5.0,,4.0,,,,,,,,Male,18-29,,Some college or Associate degree,West North Central
702,3307698060,Intermediate,A lot,,,,,,4.0,,,,,,,,3.0,,,4.0,,,4.0,,4.0,4.0,,,,,4.0,4.0,,4.0,,4.0,4.0,4.0,,,,4.0,,Male,45-60,"$100,000 - $149,999",Graduate degree,Pacific
703,3307694297,Advanced,A lot,,,3.0,,,3.0,,,3.0,,,,3.0,3.0,3.0,,5.0,,,5.0,,4.0,5.0,,,,,4.0,4.0,,4.0,,4.0,4.0,5.0,,4.0,3.0,4.0,3.0,Male,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic
704,3307688562,Novice,Not much,,,,,,,,,,,,,3.0,,,,3.0,,,5.0,,,3.0,,,,,,,,5.0,,5.0,,,,,,,,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,South Atlantic
705,3307666678,Intermediate,A lot,,,,4.0,,,,3.0,,1.0,,,2.0,4.0,3.0,,4.0,,,5.0,,4.0,3.0,3.0,,,3.0,,3.0,,3.0,,4.0,2.0,3.0,,3.0,,3.0,4.0,Male,18-29,"$0 - $24,999",High school degree,Pacific
706,3307663456,Novice,Not much,,,,,,3.0,,,,,,,,2.0,5.0,,3.0,,,5.0,,4.0,5.0,,,,,,,,5.0,,4.0,1.0,,,3.0,,,4.0,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Mountain
707,3307657004,Intermediate,Some,,,,3.0,,,,,,,,,3.0,4.0,5.0,,3.0,,,5.0,,4.0,3.0,,,,,,3.0,4.0,3.0,,5.0,3.0,,,,,,4.0,Male,18-29,"$25,000 - $49,999",Bachelor degree,West North Central
708,3307651647,Novice,Some,,,,,,5.0,,,,,,,3.0,3.0,,,3.0,,,3.0,,,5.0,,,,,,,,5.0,,4.0,,,,,,,,Male,30-44,"$25,000 - $49,999",Bachelor degree,West South Central
709,3307648206,Intermediate,Some,,,,,,,,,,,,,3.0,,3.0,,3.0,,,4.0,,4.0,4.0,,,,,,,,5.0,,4.0,4.0,4.0,,,3.0,3.0,,Male,30-44,"$0 - $24,999",Bachelor degree,Middle Atlantic
710,3307642326,Intermediate,Some,,3.0,4.0,4.0,2.0,2.0,,3.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,1.0,5.0,2.0,4.0,4.0,3.0,2.0,3.0,2.0,4.0,4.0,4.0,5.0,2.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,Male,18-29,,High school degree,West North Central
711,3307635268,Novice,Some,,,,,,,,,,,,,1.0,3.0,2.0,,3.0,,,5.0,,,5.0,,,,,,,,4.0,,4.0,4.0,3.0,,,,,2.0,Male,30-44,"$100,000 - $149,999",Graduate degree,South Atlantic
712,3307632665,Novice,Not much,,,,,,,,,,,,,4.0,3.0,3.0,,4.0,,,4.0,,3.0,3.0,,,,,,,,5.0,,5.0,,2.0,,,,,4.0,Male,18-29,,Some college or Associate degree,South Atlantic
713,3307632639,Novice,Not much,,,,,,,,,,,,,3.0,,,,,,,3.0,,,4.0,,,,,,,,5.0,,3.0,,,,,,,,Male,30-44,"$25,000 - $49,999",Graduate degree,Mountain
714,3307613821,Intermediate,A lot,,4.0,,,,,,4.0,,,,,3.0,,3.0,,4.0,,,4.0,,,4.0,,,,,,,,3.0,,,4.0,,,4.0,4.0,,,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Pacific
715,3307606679,Intermediate,A lot,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,,,,2.0,,3.0,,4.0,,3.0,5.0,4.0,,,,,2.0,,,,,
716,3307602138,Novice,Some,,,,,,4.0,,4.0,,,,,3.0,5.0,3.0,,4.0,,,5.0,,4.0,3.0,,,,,,4.0,4.0,2.0,,5.0,5.0,5.0,,3.0,4.0,4.0,3.0,Male,18-29,"$0 - $24,999",Some college or Associate degree,Middle Atlantic
717,3307584591,Intermediate,Some,,,,,,,,,,,,,3.0,3.0,4.0,,4.0,,,4.0,,4.0,4.0,,,,,,4.0,,3.0,,,4.0,5.0,4.0,4.0,4.0,,,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
718,3307575838,Novice,A lot,,,4.0,,,,,,,,,,3.0,1.0,3.0,,4.0,,,5.0,,,5.0,,,,3.0,,,,5.0,,4.0,,4.0,,3.0,,,3.0,,,,,
719,3307575474,Novice,Not much,,,,,,,,,,,,,,3.0,,,,,,4.0,,,4.0,,,,,,,,,,3.0,,,,,,,,Female,45-60,,Some college or Associate degree,East North Central
720,3307574625,Novice,Some,,,,,,,,,,,,,4.0,4.0,4.0,,,,,5.0,,3.0,5.0,,,,,,3.0,,5.0,,3.0,,3.0,,,,,4.0,Male,18-29,"$50,000 - $99,999",Bachelor degree,West South Central
721,3307573237,Intermediate,Some,,,5.0,3.0,,,,,,,,,4.0,1.0,4.0,,5.0,,,5.0,,,5.0,,,,3.0,,3.0,3.0,5.0,,3.0,,4.0,,4.0,,3.0,3.0,Male,30-44,"$0 - $24,999",High school degree,Middle Atlantic
722,3307564079,Novice,A lot,,,,,,,,,,,,,,,,,4.0,,,,,4.0,4.0,4.0,,,,,,,4.0,,3.0,3.0,3.0,,,,,,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,Pacific
724,3307555228,Intermediate,Not much,1.0,3.0,5.0,3.0,1.0,5.0,1.0,4.0,3.0,1.0,1.0,1.0,5.0,3.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,3.0,1.0,5.0,3.0,1.0,3.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,Male,18-29,"$100,000 - $149,999",Bachelor degree,South Atlantic
725,3307530701,Intermediate,Some,,4.0,4.0,3.0,,,,4.0,3.0,,,,2.0,5.0,2.0,,4.0,,,5.0,,5.0,4.0,,,3.0,2.0,2.0,4.0,4.0,4.0,,2.0,3.0,4.0,,4.0,,1.0,2.0,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,New England
726,3307521872,Advanced,A lot,,4.0,,4.0,,4.0,,4.0,3.0,4.0,,3.0,4.0,5.0,4.0,,4.0,,,5.0,,5.0,4.0,,,,4.0,,4.0,3.0,4.0,,4.0,4.0,3.0,,4.0,3.0,3.0,3.0,Male,30-44,"$150,000+",Graduate degree,Middle Atlantic
727,3307517066,Novice,Some,,,,,,,,,,,,,,,4.0,,3.0,,,5.0,,4.0,5.0,,,5.0,5.0,,5.0,,5.0,,5.0,3.0,5.0,,,,3.0,4.0,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,New England
728,3307508331,Novice,Not much,,,3.0,3.0,,,,,,,,,4.0,3.0,4.0,,3.0,3.0,,4.0,,3.0,3.0,,,,,,3.0,,4.0,,3.0,3.0,,,3.0,,,3.0,Male,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic
729,3307502806,Intermediate,A lot,,,,,,,,,,,,,3.0,4.0,4.0,,4.0,,,4.0,,5.0,4.0,,,,3.0,4.0,4.0,,3.0,,4.0,4.0,4.0,,4.0,4.0,4.0,3.0,Male,30-44,,Bachelor degree,East North Central
730,3307475605,Intermediate,Some,2.0,2.0,3.0,4.0,2.0,3.0,2.0,4.0,2.0,4.0,2.0,2.0,3.0,5.0,3.0,1.0,3.0,2.0,2.0,5.0,3.0,5.0,5.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,Male,18-29,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic
731,3307471252,Novice,Some,,,,,,,,,,,,,,4.0,3.0,,3.0,,,4.0,,4.0,5.0,,,,,,4.0,,5.0,,4.0,3.0,4.0,,,3.0,,,Male,30-44,"$25,000 - $49,999",Graduate degree,East North Central
732,3307459657,Novice,Some,,3.0,,,,5.0,,,3.0,,,,3.0,3.0,,,,,,5.0,,5.0,4.0,,,,,,4.0,,5.0,,4.0,4.0,3.0,,5.0,,3.0,4.0,Male,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic
733,3307453618,Novice,Some,,,,,,,,,,,,,,,,,,,,5.0,,,5.0,,,,,,,,1.0,,3.0,,,,,,,,Male,30-44,"$0 - $24,999",Some college or Associate degree,East South Central
734,3307436982,Expert,A lot,3.0,4.0,3.0,5.0,,3.0,,,4.0,,,3.0,3.0,4.0,5.0,3.0,4.0,,,5.0,,4.0,4.0,4.0,,3.0,2.0,4.0,4.0,4.0,4.0,,5.0,4.0,4.0,,3.0,3.0,4.0,4.0,Male,30-44,"$50,000 - $99,999",Graduate degree,Middle Atlantic
735,3307381565,Novice,Not at all,,,,,,,,,,,,,,,,,4.0,,,5.0,,2.0,5.0,,,,,,4.0,,5.0,,3.0,,,,,,,,Male,18-29,"$150,000+",Some college or Associate degree,Mountain
736,3307360976,Expert,A lot,3.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,2.0,5.0,4.0,3.0,2.0,4.0,2.0,4.0,5.0,5.0,3.0,2.0,5.0,4.0,4.0,3.0,4.0,2.0,2.0,Male,30-44,"$25,000 - $49,999",Graduate degree,Middle Atlantic
737,3307357027,Expert,Some,3.0,5.0,5.0,4.0,3.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,5.0,2.0,Male,30-44,"$150,000+",Some college or Associate degree,South Atlantic
